"data","symbol_spolki","tytul","tresc","typ_raportu","numer_raportu","url"
"2024-12-12","ALLEGRO","Powiadomienie o transakcjach otrzymane zgodnie z art. 19 MAR","Rada Dyrektorów Allegro.eu (""Spółka"") niniejszym informuje o otrzymaniu w dniu 12 grudnia 2024 r. powiadomienia o transakcjach (""Powiadomienie""), przesłanego przez Roya Perticucci, Dyrektora Wykonawczego Spółki, Prezesa (CEO) Grupy i prezesa zarządu Allegro sp. z o.o. (spółki zależnej Spółki), zgodnie z art. 19.1 Rozporządzenia Parlamentu Europejskiego i Rady (UE) nr 596/2014 z dnia 16 kwietnia 2014 r. w sprawie nadużyć na rynku (MAR).

Powiadomienie zostało załączone do niniejszego raportu.



Allegro.eu jest luksemburską spółką akcyjną (société anonyme), adres siedziby: rue Hildegard von Bingen 1, L - 1282 Luksemburg, Wielkie Księstwo Luksemburga, R.C.S. Luksemburg: B214830.","Raport bieżący z plikiem","1/allegro","https://espiebi.pap.pl/node/677006"
"2024-12-11","ALLEGRO","Wyrok SOKiK w przedmiocie odwołania Allegro sp. z o.o. od decyzji Prezesa UOKiK w sprawie o uznanie postanowień wzorca umowy za niedozwolone i nałożenia kary na Allegro sp. z o.o.","W nawiązaniu do raportu bieżącego nr 44/2022 z dnia 29 grudnia 2022 r. Rada Dyrektorów Allegro.eu (""Spółka"", ""Allegro.eu"") niniejszym zawiadamia, że w dniu 11 grudnia 2024 r. powzięła wiadomość o wyroku Sądu Okręgowego - Sądu Ochrony Konkurencji i Konsumentów (""SOKIK"") rozstrzygającego odwołanie Allegro sp. z o.o. (""Allegro PL"") od decyzji wydanej przez Prezesa Urzędu Ochrony Konkurencji i Konsumentów (""UOKiK"") dnia 29 grudnia 2022 r. nakładającej na Allegro PL karę w wysokości (i) 1 221 747 zł za naruszenia w zakresie Regulaminu Allegro (wskazane poniżej) oraz (ii) 2 748 930 zł za naruszenia w zakresie Regulaminu Smart! (wskazane poniżej), tj. łącznie karę w wysokości 3 970 677 zł za naruszenie ustawy z dnia 16 lutego 2007 r. o ochronie konkurencji i konsumentów (Dz. U. z 2021 r. poz. 275) poprzez stosowanie przez Allegro PL w regulaminie świadczenia usług regulujących zasady funkcjonowania platformy handlowej Allegro.pl oraz w regulaminie programu Smart! klauzul modyfikacyjnych pozwalających na jednostronną zmianę danego regulaminu przez Allegro PL (""Decyzja""). 

Zgodnie z Decyzją  Allegro PL stosowało postanowienia, które zostały uznane za niedozwolone postanowienia umowne, gdyż przewidywały możliwość jednostronnego dokonywania zmian warunków umowy przez Allegro PL w Regulaminie Allegro oraz Regulaminie Smart!. Zgodnie z Decyzją działanie Allegro PL polegało na wykorzystywaniu silniejszej pozycji względem konsumentów poprzez stosowanie we wzorcach umowy niedozwolonych postanowień umownych co w konsekwencji wprowadzało dysproporcję praw i obowiązków na niekorzyść konsumentów.

SOKiK utrzymał Decyzję w mocy w całości i oddalił odwołanie Allegro. 

Allegro PL przeanalizuje uzasadnienie wyroku i podejmie kroki zmierzające do jego uchylenia. Allegro.eu wskazuje, iż na ten moment wyrok SOKiK nie jest prawomocny, Decyzja nie jest ostateczna, a kara nią wymierzona nie jest wymagalna. Allegro PL ma możliwość wniesienia apelacji od wyroku SOKiK do Sądu Apelacyjnego. Decyzja stanie się ostateczna dopiero w przypadku braku wniesienia ww. apelacji albo po prawomocnym zakończeniu postępowania sądowego. 



Allegro.eu jest luksemburską spółką akcyjną (société anonyme), adres siedziby: 1, rue Hildegard von Bingen, L - 1282 Luksemburg, Wielkie Księstwo Luksemburga, R.C.S. Luksemburg: B214830.","Raport bieżący","2/allegro","https://espiebi.pap.pl/node/676949"
"2024-12-09","ALLEGRO","Allegro informuje o zakończeniu programu skupu akcji własnych","W nawiązaniu do raportów bieżących nr 20/2024 i nr 22/2024, Rada Dyrektorów Allegro.eu (""Spółka"") informuje o zakończeniu programu skupu akcji własnych ogłoszonego w dniu 26 listopada 2024 r. (""Program"").

Łącznie w ramach Programu nabyto 3 473 726 akcji, stanowiących 0,33 % kapitału zakładowego Spółki.
Okres, w którym nabywano akcje: 2 - 6 grudnia 2024 r. (na podstawie daty transakcji)
Liczba nabytych akcji: 3 473 726
System obrotu - GPW
Kwota, za którą nabyto akcje (z wyłączeniem prowizji maklerskich): 103 919 571,85 zł

Jak poinformowano w chwili uruchomienia Programu, jego celem jest realizacja nagród przyznanych w ramach pracowniczego programu motywacyjnego Allegro.



Allegro.eu jest luksemburską spółką akcyjną (société anonyme), adres siedziby: rue Hildegard von Bingen 1, L - 1282 Luksemburg, Wielkie Księstwo Luksemburga, R.C.S. Luksemburg: B214830","Raport bieżący","3/allegro","https://espiebi.pap.pl/node/676712"
"2024-12-09","ALLEGRO","Allegro informuje o transakcjach związanych z programem skupu akcji własnych, przeprowadzonych w dniach 2 - 6 grudnia 2024 r.","Podstawa prawna: Art. 2 ust. 2 i 3 Rozporządzenia delegowanego Komisji (UE) 2016/1052 z dnia 8 marca 2016 r.; Art. 5 ust. 3 Rozporządzenia MAR


W nawiązaniu do raportu bieżącego nr 20/2024 z dnia 26 listopada 2024 r. Rada Dyrektorów Allegro.eu informuje o transakcjach zawartych na akcjach własnych w dniach 2 - 6 grudnia 2024 r. Informacje, zarówno w formie zbiorczej, jak i szczegółowej, prezentowane są w załącznikach sporządzonych na podstawie informacji otrzymanych od Santander Bank Polska S.A. - Santander Biuro Maklerskie, firmy inwestycyjnej prowadzącej program skupu akcji własnych.



Allegro.eu jest luksemburską spółką akcyjną (société anonyme), adres siedziby: rue Hildegard von Bingen 1, L - 1282 Luksemburg, Wielkie Księstwo Luksemburga, R.C.S. Luksemburg: B214830","Raport bieżący z plikiem","4/allegro","https://espiebi.pap.pl/node/676701"
"2024-11-28","ALLEGRO","Allegro Sp. z o.o. podpisało umowę z DHL Parcel Polska Sp. z o.o.","Rada Dyrektorów Allegro.eu SA (""Spółka"") informuje, że Allegro sp. o.o., spółka pośrednio zależna od Spółki, podpisała w dniu 28 listopada 2024 roku umowę (""Umowa"") z DHL Parcel Polska Sp. z o.o. (""DHL""), oferującym usługi dostaw DHL.

W ramach trwającej od 2022  r. współpracy Allegro z DHL, strony podpisały najnowszą umowę dotyczącą (i) dostaw do sieci automatów paczkowych (""APM"") i punktów odbioru (""PUDO"") DHL, (ii) dostaw pod adres oraz (iii) dostaw do sieci automatów paczkowych i punktów odbioru Allegro One - One Box i One Point.

Określone w Umowie opłaty na rzecz DHL pozostaną stałe do końca 2025 roku i będą korygowane zgodnie ze wzorem określonym w Umowie co 12 kolejnych miesięcy. Wzór ten opiera się na zmianach czynników makroekonomicznych, tj. stopy inflacji, przeciętnego wynagrodzenia i cen oleju napędowego. Warunki techniczne dostaw do sieci Allegro One będą uzgodnione pomiędzy Stronami odrębnie.

Umowa zawarta jest na czas oznaczony do końca września 2029 roku z 9-miesięcznym okresem wypowiedzenia, przy czym wypowiedzenie nie jest możliwe wcześniej niż po upływie 24 miesięcy od dnia podpisania umowy. Od 2027 roku umowa przewiduje rabaty, dopłaty oraz możliwość wcześniejszego rozwiązania w przypadku gorszych wyników jakościowych. DHL zobowiązany jest do utrzymania określonego poziomu wydajności i poziomu usług przez okres obowiązywania Umowy i dalszy rozwój sieci APM oraz PUDO w Polsce umożliwiających realizację usług z uwzględnieniem prognozowanych wolumenów.

Ponadto strony zobowiązały się do dalszej współpracy w zakresie rozwoju nowych usług i identyfikowania synergii operacyjnych, jak również do świadczenia wzajemnych usług marketingowych przez cały okres obowiązywania Umowy, w tym umieszczania marki Allegro na automatach paczkowych DHL.

Umowa wpisuje się w trwające działania Spółki mające na celu skalowanie i dywersyfikację usługi Allegro Delivery poprzez rozszerzenie współpracy z partnerami logistycznymi, a także zwiększenie wykorzystania własnej sieci APM.



Allegro.eu jest luksemburską spółką akcyjną (société anonyme), adres siedziby: rue Hildegard von Bingen 1, L - 1282 Luksemburg, Wielkie Księstwo Luksemburga, R.C.S. Luksemburg: B214830","Raport bieżący","5/allegro","https://espiebi.pap.pl/node/675848"
"2024-11-26","ALLEGRO","Przyjęcie programu skupu akcji własnych przez Allegro.eu w celu zrealizowania nagród w ramach pracowniczego programu motywacyjnego","Podstawa prawna: Rozporządzenie w sprawie nadużyć na rynku (UE) nr 596/2014 z dnia 16 kwietnia 2014 r., rozporządzenie delegowane Komisji (UE) 2016/1052 z dnia 8 marca 2016 r. (""Rozporządzenie Delegowane""), luksemburska ustawa o spółkach z dnia 10 sierpnia 1915 r. z późniejszymi zmianami (""luksemburskie prawo spółek"") oraz prawo luksemburskie z dnia 11 stycznia 2008 r. w sprawie wymogów przejrzystości w odniesieniu do informacji o emitentach, których papiery wartościowe są dopuszczone do obrotu na rynku regulowanym.


Rada Dyrektorów Allegro.eu (""Rada"") informuje o podjętych w dniu 26 listopada 2024 r. uchwałach, w których postanowiła wdrożyć program skupu akcji własnych w celu zrealizowania nagród w ramach pracowniczego programu motywacyjnego (zatwierdzony przez akcjonariuszy Allegro.eu w dniu 20 września 2020 r. i uchwalony przez Radę w dniu 7 października 2020 r.) oraz w celu ułatwienia przydziału akcji pracownikom Allegro.eu oraz pracownikom jej spółek zależnych zgodnie ze swoim pracowniczym planem motywacyjnym.

Rada podjęła decyzję o wdrożeniu programu skupu akcji własnych po uwzględnieniu parametrów ekonomicznych, prawnych i finansowych w najlepszym interesie Spółki.

Spółka niniejszym przedstawia szczegóły Programu:
1. cel skupu akcji własnych: zrealizowanie nagród przyznanych w ramach pracowniczego planu motywacyjnego Allegro;
2. maksymalna kwota pieniężna przeznaczona na nabycie akcji: 156,317,670.00 zł;
3. maksymalna cena zakupu za jedną akcję: 45 zł;
4. maksymalna liczba nabywanych akcji: 3,473,726;
5. czas trwania Programu: w okresie od 1 grudnia 2024 r. do 31 maja 2025 r.;
6. Program będzie prowadzony przez Santander Bank Polska S.A. - Santander Biuro Maklerskie, które niezależnie od Spółki będzie podejmować decyzje dotyczące terminów nabycia akcji Spółki.

Do Programu mają zastosowanie następujące ograniczenia w zakresie obrotu:
1. Akcje będą nabywane na rynku regulowanym Giełdy Papierów Wartościowych w Warszawie, bez ich umorzenia, w celu ich wydania pracownikom Spółki i jej spółek zależnych. Zgodnie z artykułem 430-15 (3) luksemburskiego prawa spółek Spółka musi dokonać dystrybucji akcji w tym celu w ciągu dwunastu (12) miesięcy od daty ich nabycia. Zlecenia nie będą składane w fazie aukcji, a zlecenia złożone przed rozpoczęciem fazy aukcji nie będą modyfikowane w tej fazie.
2. Spółka, w celu ułatwienia realizacji pracowniczego planu motywacyjnego, będzie nabywać akcje po cenie wyższej niż (i) cena ostatniej niezależnej transakcji oraz (ii) najwyższa bieżąca niezależna oferta nabycia na rynku regulowanym GPW.
3. Spółka nie nabywa w żadnym dniu sesyjnym więcej niż 25 % średniego dziennego wolumenu akcji na rynku regulowanym GPW zgodnie z art. 3 ust. 3 Rozporządzenia Delegowanego.

Spółka zapewni odpowiednie podanie do publicznej wiadomości informacji o transakcjach dotyczących Programu nie później niż do końca siódmej dziennej sesji rynkowej następującej po dniu zawarcia takich transakcji, a także udostępni podsumowanie realizacji Programu.



Allegro.eu jest luksemburską spółką akcyjną (société anonyme), adres siedziby: rue Hildegard von Bingen 1, L -1282 Luksemburg, Wielkie Księstwo Luksemburga, R.C.S. Luksemburg: B214830.","Raport bieżący","6/allegro","https://espiebi.pap.pl/node/675707"
"2024-11-14","ALLEGRO","Wybrane skonsolidowane dane finansowe za okresy trzech i dziewięciu miesięcy zakończonych 30 września 2024 r.","Rada Dyrektorów Allegro.eu (""Spółka"") prezentuje wybrane niebadane skonsolidowane dane finansowe Spółki za okresy trzech i dziewięciu miesięcy zakończonych 30 września 2024 r. (odpowiednio ""3 kw. 2024 r."" i ""9 m-cy 2024 r."") jako załącznik do niniejszego raportu. Załącznik zawiera również komentarz na temat trendów rozwoju GMV w pierwszych tygodniach czwartego kwartału 2024 r. (""4 kw. 2024 r."") oraz prezentację oczekiwań i celów Spółki na 4 kw. 2024 r., zgodnie ze zwyczajowymi ujawnieniami kwartalnymi Spółki na temat aktualnych trendów sprzedażowych i oczekiwań.

Dodatkowo prezentacja wynikowa Spółki za 3 kw. 2024 r., komunikat prasowy oraz plik excel z kluczowymi danymi finansowymi dostępne są do pobrania na stronie https://about.allegro.eu/financial-results.



Allegro.eu jest luksemburską spółką akcyjną (société anonyme), adres siedziby: 1, rue Hildegard von Bingen, L-1282 Luksemburg, Wielkie Księstwo Luksemburga, R.C.S. Luksemburg: B214830","Raport bieżący z plikiem","7/allegro","https://espiebi.pap.pl/node/674527"
"2024-10-14","ALLEGRO","Ogłoszenie zmiany na stanowisku CEO Grupy Allegro","Rada Dyrektorów Allegro.eu (""Spółka"") informuje, że w dniu 13 października 2024 r. Roy Perticucci wraz ze Spółką uzgodnili jego ustąpienie ze stanowisk zajmowanych w Grupie Allegro, w tym Dyrektora Wykonawczego i CEO Allegro.eu oraz Prezesa Zarządu Allegro sp. z o.o., co nastąpi w dniu 26 czerwca 2025 r., kiedy spodziewane jest odbycie się Zwyczajnego Walnego Zgromadzenia Akcjonariuszy.

Roy Perticucci pozostanie wtedy w Spółce jako Specjalny Doradca Grupy, Allegro nadal będzie korzystało z jego doświadczenia w branży e-commerce, a on sam zapewni płynne i uporządkowane przekazanie obowiązków. Spółka uruchomiła proces wyboru kolejnego CEO i poinformuje o dokonaniu takiego wyboru w odrębnym raporcie bieżącym.

Rada Dyrektorów podkreśla, że pod kierownictwem Roya Perticucci w okresie od września 2022 r. Grupa Allegro znacząco poprawiła wyniki finansowe w oparciu o swoją pozycję wiodącej platformy zakupowej w Polsce. Grupa Allegro z sukcesem uruchomiła w tym czasie swój model biznesowy za granicą jednocześnie dynamicznie rozwijając kluczowe obszary wzrostu obejmujące reklamę, fintech i logistykę. Grupa Allegro jest dziś w dobrej sytuacji finansowej i ma możliwości inwestowania w przyspieszenie przyszłego rentownego wzrostu.

Roy Perticucci i Rada Dyrektorów zgadzają się, że jest to odpowiedni czas na zmianę przywództwa gdy Spółka jest dobrze przygotowana do wykorzystania nadchodzących możliwości wzrostu. 



Allegro.eu jest luksemburską spółką akcyjną (société anonyme), adres siedziby: rue Hildegard von Bingen 1, L -1282 Luksemburg, Wielkie Księstwo Luksemburga, R.C.S. Luksemburg: B214830","Raport bieżący","8/allegro","https://espiebi.pap.pl/node/672411"
"2024-06-26","ALLEGRO","Powołanie nowych niezależnych Dyrektorów","Rada Dyrektorów Allegro.eu (""Spółka"") informuje, że Zwyczajne Walne Zgromadzenie Spółki powołało pana Garego MCGANNA i panią Laurence BOURDON-TRACOL na stanowiska niezależnych Dyrektorów Spółki, na 3-letnią kadencję rozpoczynającą się w dniu 26 czerwca 2024 r.

Życiorysy zawodowe nowych Dyrektorów przedstawiono w raportach bieżących Spółki nr 5/2024 z dnia 12 marca 2024 r. i 6/2024 z dnia 21 marca 2024 r. 



Allegro.eu, société anonyme, adres siedziby: rue Hildegard von Bingen 1, L - 1282 Luksemburg, Wielkie Księstwo Luksemburga, R.C.S. Luksemburg: B214830.","Raport bieżący","9/allegro","https://espiebi.pap.pl/node/558560"
"2024-06-26","ALLEGRO","Treść uchwał podjętych przez Zwyczajne Walne Zgromadzenie Allegro.eu w dniu 26 czerwca 2024 r.","Podstawa prawna: Luksemburska ustawa z dnia 24 maja 2011 r. implementująca dyrektywę 2007/36 WE Parlamentu Europejskiego i Rady z dnia 11 lipca 2007 r. w sprawie wykonywania niektórych praw akcjonariuszy spółek giełdowych (z późn. zm.).


Rada Dyrektorów Allegro.eu (""Spółka"") niniejszym informuje akcjonariuszy o treści uchwał podjętych przez Zwyczajne Walne Zgromadzenie Spółki, które odbyło się 26 czerwca 2024 roku. Treść uchwał wraz z wynikami głosowania stanowi załącznik do niniejszego raportu.



Allegro.eu, société anonyme, adres siedziby: rue Hildegard von Bingen 1, L - 1282 Luksemburg, Wielkie Księstwo Luksemburga, R.C.S. Luksemburg: B214830.","Raport bieżący z plikiem","10/allegro","https://espiebi.pap.pl/node/558558"
